TeamName,MemberName
نسور الجو,بطرس رأفت
نسور الجو,بولس منصور
نسور الجو,جرجس إسحق
نسور الجو,مينا عوض
نسور الجو,مرقس عوض
نسور الجو,يوحنا ثروت
نسور الجو,متى نبيل
نسور الجو,لوقا شفيق
نسور الجو,أندراوس عادل
نسور الجو,فيلبس عوض
نسور الجو,يعقوب مفيد
نسور الجو,توما فوزي
نسور الجو,برثولماوس وجيه
نسور الجو,تداوس منصور
نسور الجو,سمعان مكرم
صقور الطيران,متياس مكرم
صقور الطيران,إستيفانوس نبيل
صقور الطيران,كيرلس إسحق
صقور الطيران,شنودة ثروت
صقور الطيران,أنطونيوس منير
صقور الطيران,باخوميوس جمال
صقور الطيران,بيشوي منير
صقور الطيران,أبانوب منير
صقور الطيران,كارس بشارة
صقور الطيران,رويس نبيل
صقور الطيران,أفرام إبراهيم
صقور الطيران,مريم نبيل
صقور الطيران,دميانة جمال
صقور الطيران,رفقة منصور
صقور الطيران,إيريني نصحي
أجنحة السماء,فيرونيكا نصحي
أجنحة السماء,مونيكا فوزي
أجنحة السماء,مارينا بشارة
أجنحة السماء,يوستينا عاطف
أجنحة السماء,ليديا مفيد
أجنحة السماء,فيبي جمال
أجنحة السماء,ماريا بشارة
أجنحة السماء,سارة رأفت
أجنحة السماء,هاجر إسحق
أجنحة السماء,ريبيكا عوض
أجنحة السماء,راحيل رزق
أجنحة السماء,ليئة عادل
أجنحة السماء,أستير ثروت
أجنحة السماء,روت نبيل
أجنحة السماء,حنة ثروت
قادة الرحلة,إليزابيث مكرم
قادة الرحلة,سالومي نبيل
قادة الرحلة,بربارة عوض
قادة الرحلة,كاترين وجيه
قادة الرحلة,جوليانا رزق
قادة الرحلة,أغابى منير
قادة الرحلة,إلبيس عوض
قادة الرحلة,بيستيس مكرم
قادة الرحلة,كريستينا جمال
قادة الرحلة,تيريزا رزق
قادة الرحلة,ريتا منصور
قادة الرحلة,لوسي رأفت
قادة الرحلة,كلير عاطف
قادة الرحلة,أجنيس فوزي
قادة الرحلة,سيسيل رزق
أفق المطار,جابرييل مكرم
أفق المطار,ميخائيل جمال
أفق المطار,روفائيل عاطف
أفق المطار,غبريال عادل
أفق المطار,دانيال منصور
أفق المطار,داود نصحي
أفق المطار,سليمان نصحي
أفق المطار,صموئيل إسحق
أفق المطار,إيليا إبراهيم
أفق المطار,أليشع إبراهيم
أفق المطار,إرميا شفيق
أفق المطار,حزقيال عوض
أفق المطار,يونان مفيد
أفق المطار,ملاخي نبيل
أفق المطار,زكريا إبراهيم
محرك النفاثة,يوسف منير
محرك النفاثة,بنيامين مفيد
محرك النفاثة,نفتالي رأفت
محرك النفاثة,جاد وجيه
محرك النفاثة,أشير شفيق
محرك النفاثة,يساكر وجيه
محرك النفاثة,زبولون عاطف
محرك النفاثة,أفرايم مكرم
محرك النفاثة,منسى مكرم
محرك النفاثة,جوناثان منير
محرك النفاثة,تيموثاوس شفيق
محرك النفاثة,تيطس نصحي
محرك النفاثة,فيليمون ثروت
محرك النفاثة,سيلا عوض
محرك النفاثة,برنابا عادل
